Year;Code;1.a.2 health-expenditure-government-expenditure;2.3.1 agriculture-value-added-per-worker-wdi;3.8.1 healthcare-access-and-quality-index;4.3.1 gross-enrollment-ratio-in-tertiary-education;5.5.1 seats-held-by-women-in-national-parliament;6.4.1 water-productivity;7.2.1 renewables-share-final-energy;7.3.1 energy-intensity-of-economie;8.1.1 gdp-per-capita-worldbank;9.2.2 industry-share-of-total-emplyoment;9.4.1 cco2-intensity;9.5.2 researchers-in-rd-per-million-people;11.6.2 PM25-air-pollution;12.2.2 domestic-material-consumption-per-capita;12.5.1 municipal-waste-recycled;13.2.1 co-emissions-per-capita;15.1.1 forest-area-as-share-of-land-area;16.1.1 intentional-homicides-per-100000-people
2000;MUS;8.70826783;5501.0829756391;59.8;11.0314798355103;5.71428571428571;;20.421382538649;0.8723651623186632;11890.5886483671;35.894;0.15425864;;15.3980383595153;12.58079;;2.269515612;20.655172413793103;2.1938206822
2001;MUS;10.85322069;5938.27905008837;;17.1054096221924;5.71428571428571;;20.0759606691622;0.8930160492416874;12191.9274175312;35.161;0.168118975;;;13.16916;;2.396636516;20.4807881773399;
2002;MUS;9.341391;5093.8549028104;;15.8450698852539;5.71428571428571;10.2796145395585;17.933269982053;0.8671527951771062;12303.1068475908;34.745;0.16868021;;;12.32492;;2.398975042;20.3064039408867;
2003;MUS;8.81739175;5354.34091418129;;16.554220199585;5.71428571428571;;18.8999899086564;0.8772489357431679;12938.1526777756;34.427;0.181125043;;;12.41312;;2.530554177;20.1320197044335;3.225827797
2004;MUS;9.74233013;6173.04603077555;;17.822509765625;5.71428571428571;;19.0830744216457;0.8446595142386654;13413.9932626868;33.634;0.183267829;;;12.92772;;2.540092105;19.957635467980296;2.8790755371
2005;MUS;9.38288535;5835.0854602;61.8;21.3507404327393;17.1428571428571;;17.7370460342678;0.8629128451340712;13571.8356011585;32.465;0.203188829;;15.5372494388922;12.35838;;2.695528642;19.783251231527093;3.0277984632
2006;MUS;8.81728674;6904.41552013215;;23.5989398956299;17.1428571428571;;16.4912128826453;0.887621870716287;14165.9544855364;32.229;0.20955049;;;12.1382;;2.953876221;19.60886699507389;4.0713661632
2007;MUS;8.85502248;7074.39712268678;;24.6435604095459;17.1428571428571;13.9721291143077;15.7716446467062;0.8429700682626818;14909.1708552865;32.563;0.192623452;;;11.20504;;2.98702107;19.43448275862069;3.6470025691
2008;MUS;7.94728889;7269.76747662159;;27.3368492126465;17.1428571428571;;12.8196559111827;0.8174315164643206;15655.6043211354;31.695;0.195123334;;;12.53709;;3.040025827;19.26009852216749;3.8732729641
2009;MUS;8.53124347;7990.51156868837;;32.1943092346191;17.1428571428571;;12.8733784586771;0.7739161446418121;16131.7069751994;29.783;0.186491804;;;11.55094;;2.980681672;19.085714285714285;3.0546722015
2010;MUS;10.29367418;8203.23910190788;63.3;33.6918182373047;18.8405797101449;;13.6584289998917;0.7854405055003213;16797.8172363943;28.838;0.190709108;;15.1947729014188;11.51877;;3.135538462;18.911330049261085;2.6443303554
2011;MUS;9.98643352;9492.12443385928;;35.2347793579102;18.8405797101449;;12.1429181978792;0.7572846929709587;17454.7800781809;28.228;0.18222977;;15.201701650388;11.89971;;3.130948042;18.90246305418719;2.5578023362
2012;MUS;9.84821038;9602.34393245861;;38.659969329834;18.8405797101449;18.5147338923527;11.6088655061675;0.7456496034139084;18014.9911490937;28.01;0.179618182;181.112335205078;15.2458559630192;11.63165;;3.163964884;18.8935960591133;2.2337651148
2013;MUS;9.52140394;8921.803080893;;39.7256889343262;18.8405797101449;;11.4375754591077;0.7424741075840943;18579.3741551896;19.116;0.181136927;;15.5561765052019;11.55724;;3.240669323;18.88472906403941;2.7878272312
2014;MUS;9.99251732;9322.84582810716;;38.6741218566895;18.8405797101449;;10.6338613343618;0.7080380365588318;19240.2247080161;18.357;0.177981213;;15.292648228244;11.82126;;3.346278441;18.87586206896552;1.5111134441
2015;MUS;;9386.8869271222;65.7;;11.5942028985507;;11.5373619624728;0.7085737377876395;19897.4753965644;25.358;0.172065458;;14.4419557943839;11.7463;;3.343872915;18.866995073891623;1.6673852303
2016;MUS;;10172.7540167121;;;11.5942028985507;;;;20646.9330000973;25.29;0.170998713;;14.3463794699888;11.6751;;3.443347068;18.91330049261084;1.6641967873
2017;MUS;;8023.54906532815;;;11.5942028985507;21.1449085128314;;;21415.1161096211;25.164;;;14.4578273223582;11.60127;;3.588632911;18.959605911330048;2.6097333564
2018;MUS;;;;;11.5942028985507;;;;22208.1381171868;;;;;;;3.868674822;19.005911330049265;2.9198600992
2019;MUS;;;;;20.0;;;;22870.2862495308;;;;;;;3.690401575;19.05221674876848;
2020;MUS;;;;;20.0;;;;19469.5245883739;;;;;;;;19.098522167487687;
2000;MEX;10.51976479;4129.5381557769;57.4;19.0738201141357;16.0;;12.1673599409573;1.1421477672277636;17756.5664680698;27.008;0.353630682;216.207611083984;26.7791821594009;8.01986;724300.0;4.004715511;35.17649630906145;10.856437642
2001;MEX;10.81977643;4314.8172736004;;19.8611698150635;16.0;;11.3438848753678;1.189694776404168;17438.2085202562;26.104;0.363449488;224.389923095703;;8.00776;742100.0;4.094776785;35.10252115537951;10.254426223
